#日期，当日票房（万元)
2017-07-27,9609.9
2017-07-28,20182.6
2017-07-29,29280.8
2017-07-30,34280.8
2017-07-31,25399.0
2017-08-01,27215.8
2017-08-02,25953.1
2017-08-03,21287.8
2017-08-04,24950.4
2017-08-05,37806.9
2017-08-06,39779.2
2017-08-07,22636.2
2017-08-08,21331.4
2017-08-09,18357.7
2017-08-10,15380.3
2017-08-11,14149.3
2017-08-12,20387.7
2017-08-13,18846.8
2017-08-14,9327.7
2017-08-15,8113.3
2017-08-16,7063.7
2017-08-17,5697.2
2017-08-18,5958.0
2017-08-19,8563.6
2017-08-20,8346.4
2017-08-21,4221.6
2017-08-22,3687.0
2017-08-23,3345.4
2017-08-24,3032.4
2017-08-25,2449.3
2017-08-26,3760.0
2017-08-27,4012.9
2017-08-28,5384.8
2017-08-29,2072.4
2017-08-30,1789.8
2017-08-31,1481.8
2017-09-01,1254.1
2017-09-02,2241.1
2017-09-03,1885.6
2017-09-04,798.1
2017-09-05,731.6
2017-09-06,705.4
