# (南侧测量数据,单位：米,数据格式:)基准线上定位点坐标，测量点距基准线的距离
0,51.1
100,52
200,53.1
300,54.3
400,54.7
500,48.9
600,60.2
700,63.0
800,69.3
900,70.1
1000,86.3
1100,99.5
1200,111.6
1300,124.5
1400,130.5
1500,150.6
1600,170.9
1700,180.5
1800,201.4
1900,223.4
2000,280.8
2100,320.9
2200,365.2
2300,398.7
2400,413.5
2500,456.4
2600,512.1
2700,536.3
2800,556.1
2900,556.4
3000,561.7
3100,560.2
3200,510.6
3300,430.4
3400,360.8
3500,313.5
3600,311.6
3700,310.9
3800,309.2
3900,350.2
4000,380.6
4100,390.3
4200,441.9
4300,445.8
4400,460.9
4500,470.5
4600,465.6
4700,466.7
4800,461.7
4930,452.3
